Dia;Mes;Año;Temperatura media;Humedad media;Rocío medio;Presión media;Velocidad media;Racha media;Dirección media;Precipitación mensual;Precipitación anual;Intensidad máxima por minuto;Temperatura máxima;Temperatura mínima;Humedad máxima;Humedad mínima;Presión máxima;Presión mínima;Velocidad media máxima;Racha máxima
8;Septiembre;2019;21.8°C;45%;9.2°C;1014.8 hPa;0.4 km/h;2.1 km/h;66° (ENE);0.2 mm;57.4 mm;0.0 mm el 08 a las 23:59;28.2°C el 08 a las 17:48;16.6°C el 08 a las 08:40;63% el 08 a las 11:53;31% el 08 a las 22:28;1016.6 hPa el 08 a las 02:55;1012.2 hPa el 08 a las 18:37;7.4 km/h el 08 a las 15:18;16.7 km/h  del 164°(SSE) el 08 a las 15:17
9;Septiembre;2019;21.7°C;39%;5.9°C;1012.6 hPa;1.6 km/h;4.6 km/h;182° (S);0.2 mm;57.4 mm;0.0 mm el 09 a las 23:59;28.6°C el 09 a las 17:43;13.7°C el 09 a las 08:38;65% el 09 a las 08:32;19% el 09 a las 17:57;1014.8 hPa el 09 a las 10:00;1009.3 hPa el 09 a las 17:55;18.5 km/h el 09 a las 15:41;27.8 km/h  del 218°(SO) el 09 a las 17:45
10;Septiembre;2019;17.2°C;47%;5.6°C;1012.8 hPa;8.5 km/h;14.5 km/h;304° (NO);0.2 mm;57.4 mm;0.0 mm el 10 a las 23:58;22.0°C el 10 a las 00:10;14.1°C el 10 a las 08:12;65% el 10 a las 08:04;31% el 10 a las 00:31;1017.2 hPa el 10 a las 23:58;1009.8 hPa el 10 a las 06:09;25.9 km/h el 10 a las 16:06;38.9 km/h  del 304°(NO) el 10 a las 02:24
11;Septiembre;2019;18.3°C;51%;7.4°C;1019.5 hPa;2.1 km/h;6.4 km/h;349° (NNO);0.2 mm;57.4 mm;0.0 mm el 11 a las 23:59;24.9°C el 11 a las 16:52;10.8°C el 11 a las 05:50;76% el 11 a las 08:19;35% el 11 a las 18:13;1023.5 hPa el 11 a las 23:59;1017.2 hPa el 11 a las 00:19;13.0 km/h el 11 a las 13:00;25.9 km/h  del 240°(OSO) el 11 a las 18:18
12;Septiembre;2019;20.9°C;51%;10.2°C;1023.6 hPa;1.2 km/h;4.2 km/h;54° (NE);0.2 mm;57.4 mm;0.0 mm el 12 a las 23:59;27.1°C el 12 a las 16:23;14.8°C el 12 a las 08:17;62% el 12 a las 08:39;39% el 12 a las 16:27;1025.3 hPa el 12 a las 12:25;1022.1 hPa el 12 a las 20:24;13.0 km/h el 12 a las 19:23;24.1 km/h  del 049°(NE) el 12 a las 10:49
13;Septiembre;2019;18.0°C;68%;11.7°C;1023.0 hPa;1.1 km/h;3.8 km/h;32° (NNE);8.0 mm;65.2 mm;0.4 mm el 13 a las 14:04;20.9°C el 13 a las 13:27;15.3°C el 13 a las 16:12;91% el 13 a las 16:49;49% el 13 a las 13:10;1024.7 hPa el 13 a las 15:11;1021.7 hPa el 13 a las 20:30;7.4 km/h el 13 a las 19:07;24.1 km/h  del 349°(N) el 13 a las 10:15
14;Septiembre;2019;17.0°C;83%;14.1°C;1021.5 hPa;0.4 km/h;1.7 km/h;19° (NNE);20.4 mm;77.6 mm;0.4 mm el 14 a las 19:31;20.4°C el 14 a las 12:38;15.7°C el 14 a las 21:12;94% el 14 a las 23:59;61% el 14 a las 12:42;1023.5 hPa el 14 a las 00:37;1019.8 hPa el 14 a las 17:50;13.0 km/h el 14 a las 12:40;22.2 km/h  del 130°(SE) el 14 a las 12:42
15;Septiembre;2019;17.6°C;88%;15.6°C;1018.7 hPa;0.2 km/h;1.0 km/h;341° (NNO);28.0 mm;85.2 mm;0.2 mm el 15 a las 10:32;22.0°C el 15 a las 17:54;15.2°C el 15 a las 08:55;94% el 15 a las 11:20;74% el 15 a las 18:15;1020.3 hPa el 15 a las 00:23;1017.1 hPa el 15 a las 18:56;7.4 km/h el 15 a las 14:55;18.5 km/h  del 316°(NO) el 15 a las 14:12
16;Septiembre;2019;19.3°C;81%;15.8°C;1017.5 hPa;0.5 km/h;1.5 km/h;342° (NNO);28.0 mm;85.2 mm;0.0 mm el 16 a las 23:59;25.2°C el 16 a las 16:28;15.8°C el 16 a las 08:23;93% el 16 a las 09:15;55% el 16 a las 16:27;1018.8 hPa el 16 a las 01:51;1015.8 hPa el 16 a las 17:40;14.8 km/h el 16 a las 18:27;22.2 km/h  del 315°(NO) el 16 a las 18:26
17;Septiembre;2019;19.9°C;71%;13.8°C;1015.4 hPa;0.4 km/h;1.6 km/h;284° (ONO);28.0 mm;85.2 mm;0.0 mm el 17 a las 23:59;27.6°C el 17 a las 16:46;14.1°C el 17 a las 08:16;92% el 17 a las 08:25;41% el 17 a las 17:20;1017.3 hPa el 17 a las 00:49;1012.6 hPa el 17 a las 17:26;14.8 km/h el 17 a las 19:49;35.2 km/h  del 234°(SO) el 17 a las 19:48
18;Septiembre;2019;20.6°C;63%;12.9°C;1014.2 hPa;0.7 km/h;1.9 km/h;227° (SO);28.0 mm;85.2 mm;0.0 mm el 18 a las 23:59;26.9°C el 18 a las 17:32;15.7°C el 18 a las 08:37;84% el 18 a las 08:58;40% el 18 a las 17:33;1016.1 hPa el 18 a las 00:21;1012.7 hPa el 18 a las 18:35;11.1 km/h el 18 a las 17:00;22.2 km/h  del 146°(SE) el 18 a las 17:14
19;Septiembre;2019;18.6°C;70%;12.8°C;1014.7 hPa;0.2 km/h;0.9 km/h;256° (OSO);28.0 mm;85.2 mm;0.0 mm el 19 a las 20:00;33.4°C el 19 a las 20:00;15.2°C el 19 a las 08:37;83% el 19 a las 08:56;28% el 19 a las 20:00;1015.4 hPa el 19 a las 11:28;1012.3 hPa el 19 a las 20:00;7.4 km/h el 19 a las 14:47;16.7 km/h  del 134°(SE) el 19 a las 13:59
20;Septiembre;2019;17.5°C;85%;14.7°C;1011.5 hPa;1.5 km/h;3.3 km/h;144° (SE);48.6 mm;105.8 mm;2.2 mm el 20 a las 21:14;33.4°C el 20 a las 20:02;16.1°C el 20 a las 21:35;93% el 20 a las 23:59;28% el 20 a las 20:02;1012.3 hPa el 20 a las 20:01;1010.9 hPa el 20 a las 20:09;22.2 km/h el 20 a las 21:02;38.9 km/h  del 148°(SSE) el 20 a las 21:06
21;Septiembre;2019;16.7°C;88%;14.7°C;1011.6 hPa;0.3 km/h;1.0 km/h;154° (SSE);53.8 mm;111.0 mm;1.2 mm el 21 a las 00:31;19.9°C el 21 a las 14:58;13.7°C el 21 a las 07:18;97% el 21 a las 09:46;72% el 21 a las 14:27;1012.5 hPa el 21 a las 11:53;1010.6 hPa el 21 a las 18:23;9.3 km/h el 21 a las 14:25;18.5 km/h  del 158°(SSE) el 21 a las 13:57
22;Septiembre;2019;17.9°C;74%;12.7°C;1012.7 hPa;2.1 km/h;4.9 km/h;263° (O);57.8 mm;115.0 mm;0.4 mm el 22 a las 08:30;22.4°C el 22 a las 16:32;15.5°C el 22 a las 23:59;95% el 22 a las 09:44;46% el 22 a las 16:35;1016.5 hPa el 22 a las 23:34;1010.5 hPa el 22 a las 05:39;14.8 km/h el 22 a las 17:44;27.8 km/h  del 303°(ONO) el 22 a las 17:08
23;Septiembre;2019;16.8°C;65%;9.5°C;1018.4 hPa;0.8 km/h;2.2 km/h;210° (SSO);57.8 mm;115.0 mm;0.0 mm el 23 a las 23:59;22.7°C el 23 a las 18:20;9.9°C el 23 a las 08:43;88% el 23 a las 08:56;40% el 23 a las 20:26;1020.4 hPa el 23 a las 10:54;1016.4 hPa el 23 a las 00:19;13.0 km/h el 23 a las 17:39;18.5 km/h  del 127°(SE) el 23 a las 17:39
24;Septiembre;2019;18.4°C;65%;11.3°C;1016.9 hPa;1.2 km/h;3.3 km/h;171° (S);57.8 mm;115.0 mm;0.0 mm el 24 a las 23:59;25.9°C el 24 a las 17:21;10.7°C el 24 a las 08:52;87% el 24 a las 09:19;38% el 24 a las 16:15;1019.3 hPa el 24 a las 00:08;1014.0 hPa el 24 a las 18:47;16.7 km/h el 24 a las 16:12;25.9 km/h  del 159°(SSE) el 24 a las 16:12
25;Septiembre;2019;19.0°C;58%;10.2°C;1015.6 hPa;1.7 km/h;4.2 km/h;265° (O);57.8 mm;115.0 mm;0.0 mm el 25 a las 23:59;23.8°C el 25 a las 18:51;13.6°C el 25 a las 08:33;76% el 25 a las 00:14;38% el 25 a las 18:27;1016.8 hPa el 25 a las 12:39;1014.5 hPa el 25 a las 18:49;14.8 km/h el 25 a las 06:30;27.8 km/h  del 265°(O) el 25 a las 06:21
26;Septiembre;2019;19.3°C;58%;10.1°C;1017.2 hPa;0.6 km/h;1.8 km/h;214° (SO);57.8 mm;115.0 mm;0.0 mm el 26 a las 23:59;26.2°C el 26 a las 18:15;12.1°C el 26 a las 07:45;82% el 26 a las 07:14;36% el 26 a las 19:27;1019.4 hPa el 26 a las 11:20;1015.8 hPa el 26 a las 18:52;14.8 km/h el 26 a las 14:48;22.2 km/h  del 166°(SSE) el 26 a las 14:47
27;Septiembre;2019;20.4°C;52%;9.0°C;1016.6 hPa;0.8 km/h;2.4 km/h;186° (S);57.8 mm;115.0 mm;0.0 mm el 27 a las 23:59;27.8°C el 27 a las 16:17;12.9°C el 27 a las 07:33;80% el 27 a las 07:36;27% el 27 a las 19:08;1018.2 hPa el 27 a las 11:17;1014.7 hPa el 27 a las 17:46;13.0 km/h el 27 a las 16:53;25.9 km/h  del 169°(S) el 27 a las 16:52
28;Septiembre;2019;19.6°C;46%;6.6°C;1017.5 hPa;0.4 km/h;1.3 km/h;230° (SO);57.8 mm;115.0 mm;0.0 mm el 28 a las 23:59;27.6°C el 28 a las 16:33;11.2°C el 28 a las 08:37;70% el 28 a las 09:18;22% el 28 a las 19:14;1019.4 hPa el 28 a las 11:41;1016.1 hPa el 28 a las 20:27;11.1 km/h el 28 a las 16:52;16.7 km/h  del 150°(SSE) el 28 a las 18:06
29;Septiembre;2019;19.7°C;46%;6.6°C;1016.5 hPa;0.8 km/h;2.2 km/h;160° (SSE);57.8 mm;115.0 mm;0.0 mm el 29 a las 23:59;28.7°C el 29 a las 16:35;10.8°C el 29 a las 08:52;72% el 29 a las 07:30;25% el 29 a las 21:26;1018.0 hPa el 29 a las 11:55;1014.7 hPa el 29 a las 18:55;16.7 km/h el 29 a las 15:22;22.2 km/h  del 161°(SSE) el 29 a las 17:07
30;Septiembre;2019;20.5°C;42%;6.0°C;1015.0 hPa;0.7 km/h;2.0 km/h;154° (SSE);57.8 mm;115.0 mm;0.0 mm el 30 a las 23:57;28.6°C el 30 a las 16:32;12.1°C el 30 a las 07:20;67% el 30 a las 07:20;22% el 30 a las 18:47;1016.6 hPa el 30 a las 11:56;1012.5 hPa el 30 a las 19:46;14.8 km/h el 30 a las 15:33;24.1 km/h  del 158°(SSE) el 30 a las 15:24
1;Octubre;2019;18.8°C;48%;7.5°C;1012.3 hPa;3.7 km/h;6.6 km/h;283° (ONO);0.0 mm;87.0 mm;0.0 mm el 01 a las 00:00;25.4°C el 01 a las 15:55;11.6°C el 01 a las 08:49;67% el 01 a las 09:39;34% el 01 a las 14:38;1014.1 hPa el 01 a las 00:00;1011.2 hPa el 01 a las 17:10;22.2 km/h el 01 a las 17:40;33.3 km/h  del 335°(NNO) el 01 a las 17:39
2;Octubre;2019;17.9°C;52%;7.8°C;1015.4 hPa;5.1 km/h;9.0 km/h;296° (ONO);0.0 mm;87.0 mm;0.0 mm el 02 a las 23:59;22.3°C el 02 a las 16:58;13.4°C el 02 a las 08:43;69% el 02 a las 09:06;35% el 02 a las 18:56;1018.0 hPa el 02 a las 23:59;1013.1 hPa el 02 a las 04:43;29.6 km/h el 02 a las 02:34;42.6 km/h  del 293°(ONO) el 02 a las 02:34
3;Octubre;2019;16.7°C;56%;7.1°C;1017.4 hPa;0.3 km/h;1.0 km/h;113° (ESE);0.0 mm;87.0 mm;0.0 mm el 03 a las 23:59;25.6°C el 03 a las 18:42;9.3°C el 03 a las 08:36;81% el 03 a las 09:32;29% el 03 a las 18:43;1019.2 hPa el 03 a las 12:20;1015.5 hPa el 03 a las 18:51;9.3 km/h el 03 a las 18:22;16.7 km/h  del 160°(SSE) el 03 a las 18:17
4;Octubre;2019;18.5°C;50%;7.2°C;1015.8 hPa;0.6 km/h;1.7 km/h;159° (SSE);0.0 mm;87.0 mm;0.0 mm el 04 a las 23:58;26.5°C el 04 a las 17:27;10.3°C el 04 a las 09:04;75% el 04 a las 08:20;30% el 04 a las 18:31;1017.6 hPa el 04 a las 10:47;1013.1 hPa el 04 a las 18:15;13.0 km/h el 04 a las 15:25;18.5 km/h  del 163°(SSE) el 04 a las 17:48
5;Octubre;2019;19.2°C;59%;10.4°C;1014.4 hPa;0.5 km/h;1.6 km/h;158° (SSE);0.0 mm;87.0 mm;0.0 mm el 05 a las 23:59;26.3°C el 05 a las 17:02;11.6°C el 05 a las 08:07;84% el 05 a las 08:11;35% el 05 a las 17:53;1015.9 hPa el 05 a las 23:51;979.8 hPa el 05 a las 16:00;14.8 km/h el 05 a las 17:08;22.2 km/h  del 142°(SE) el 05 a las 17:07
6;Octubre;2019;19.9°C;49%;8.1°C;1016.6 hPa;1.5 km/h;3.4 km/h;285° (ONO);0.0 mm;87.0 mm;0.0 mm el 06 a las 23:59;27.0°C el 06 a las 17:16;10.5°C el 06 a las 08:40;80% el 06 a las 08:59;27% el 06 a las 19:33;1018.4 hPa el 06 a las 12:49;1015.2 hPa el 06 a las 18:25;16.7 km/h el 06 a las 20:48;22.2 km/h  del 286°(ONO) el 06 a las 21:02
7;Octubre;2019;20.0°C;50%;8.9°C;1016.9 hPa;0.2 km/h;1.0 km/h;234° (SO);0.0 mm;87.0 mm;0.0 mm el 07 a las 23:59;27.2°C el 07 a las 16:27;12.3°C el 07 a las 08:46;72% el 07 a las 09:23;34% el 07 a las 17:00;1018.2 hPa el 07 a las 11:46;1015.6 hPa el 07 a las 19:33;7.4 km/h el 07 a las 14:40;16.7 km/h  del 144°(SE) el 07 a las 16:18
8;Octubre;2019;20.1°C;52%;9.4°C;1016.3 hPa;0.5 km/h;1.5 km/h;149° (SSE);0.0 mm;87.0 mm;0.0 mm el 08 a las 23:59;27.9°C el 08 a las 17:13;12.7°C el 08 a las 08:40;73% el 08 a las 08:21;32% el 08 a las 19:03;1018.5 hPa el 08 a las 10:51;1013.8 hPa el 08 a las 19:52;11.1 km/h el 08 a las 17:43;22.2 km/h  del 148°(SSE) el 08 a las 14:38
9;Octubre;2019;20.6°C;54%;10.4°C;1014.3 hPa;0.2 km/h;1.0 km/h;194° (SSO);0.0 mm;87.0 mm;0.0 mm el 09 a las 23:59;27.5°C el 09 a las 16:15;14.1°C el 09 a las 08:11;78% el 09 a las 08:51;26% el 09 a las 19:23;1016.0 hPa el 09 a las 23:59;1012.5 hPa el 09 a las 18:34;11.1 km/h el 09 a las 15:39;18.5 km/h  del 175°(S) el 09 a las 15:38
10;Octubre;2019;18.8°C;62%;11.2°C;1017.2 hPa;0.3 km/h;1.6 km/h;42° (NE);0.0 mm;87.0 mm;0.0 mm el 10 a las 23:59;24.7°C el 10 a las 17:03;14.0°C el 10 a las 06:11;70% el 10 a las 23:09;49% el 10 a las 19:08;1019.3 hPa el 10 a las 11:40;1016.0 hPa el 10 a las 00:24;5.6 km/h el 10 a las 23:27;18.5 km/h  del 05°(N) el 10 a las 03:48
11;Octubre;2019;19.1°C;70%;13.3°C;1017.4 hPa;0.3 km/h;0.9 km/h;128° (SE);0.0 mm;87.0 mm;0.0 mm el 11 a las 23:59;25.2°C el 11 a las 18:23;12.8°C el 11 a las 08:42;87% el 11 a las 09:11;52% el 11 a las 18:24;1020.0 hPa el 11 a las 11:22;1014.8 hPa el 11 a las 20:16;7.4 km/h el 11 a las 13:20;13.0 km/h  del 134°(SE) el 11 a las 17:37
12;Octubre;2019;19.8°C;67%;13.0°C;1014.3 hPa;0.7 km/h;2.2 km/h;140° (SE);9.6 mm;96.6 mm;1.2 mm el 12 a las 20:32;25.3°C el 12 a las 17:17;15.4°C el 12 a las 23:07;90% el 12 a las 23:06;40% el 12 a las 18:33;1015.8 hPa el 12 a las 12:06;1011.8 hPa el 12 a las 20:10;25.9 km/h el 12 a las 20:30;44.4 km/h  del 156°(SSE) el 12 a las 20:30
13;Octubre;2019;16.7°C;79%;12.7°C;1013.6 hPa;0.8 km/h;2.2 km/h;175° (S);9.6 mm;96.6 mm;0.0 mm el 13 a las 23:59;22.3°C el 13 a las 18:08;11.9°C el 13 a las 08:29;95% el 13 a las 10:28;53% el 13 a las 18:23;1015.3 hPa el 13 a las 12:18;1012.0 hPa el 13 a las 23:59;13.0 km/h el 13 a las 13:55;22.2 km/h  del 151°(SSE) el 13 a las 13:30
14;Octubre;2019;14.5°C;77%;10.3°C;1011.1 hPa;2.2 km/h;6.1 km/h;185° (S);11.8 mm;98.8 mm;0.2 mm el 14 a las 20:15;18.7°C el 14 a las 16:07;8.7°C el 14 a las 23:59;95% el 14 a las 21:00;51% el 14 a las 17:14;1016.3 hPa el 14 a las 23:59;1008.2 hPa el 14 a las 07:03;18.5 km/h el 14 a las 14:30;35.2 km/h  del 149°(SSE) el 14 a las 14:29
15;Octubre;2019;10.9°C;67%;4.7°C;1019.5 hPa;1.3 km/h;3.6 km/h;214° (SO);12.0 mm;99.0 mm;0.2 mm el 15 a las 11:31;16.2°C el 15 a las 16:28;5.9°C el 15 a las 08:50;87% el 15 a las 00:40;48% el 15 a las 17:19;1021.4 hPa el 15 a las 23:08;1016.2 hPa el 15 a las 00:06;18.5 km/h el 15 a las 14:18;27.8 km/h  del 158°(SSE) el 15 a las 14:17
16;Octubre;2019;12.1°C;66%;5.5°C;1019.4 hPa;0.9 km/h;2.6 km/h;157° (SSE);12.0 mm;99.0 mm;0.0 mm el 16 a las 23:59;17.8°C el 16 a las 16:34;6.1°C el 16 a las 08:48;89% el 16 a las 09:44;43% el 16 a las 18:26;1021.2 hPa el 16 a las 10:29;1016.9 hPa el 16 a las 18:22;14.8 km/h el 16 a las 14:42;24.1 km/h  del 168°(SSE) el 16 a las 16:12
17;Octubre;2019;11.9°C;85%;9.5°C;1018.2 hPa;0.2 km/h;0.7 km/h;162° (SSE);14.4 mm;101.4 mm;0.2 mm el 17 a las 10:12;15.7°C el 17 a las 18:44;7.8°C el 17 a las 04:52;94% el 17 a las 10:30;64% el 17 a las 00:10;1019.6 hPa el 17 a las 12:30;1016.8 hPa el 17 a las 05:34;9.3 km/h el 17 a las 14:26;14.8 km/h  del 163°(SSE) el 17 a las 14:25
18;Octubre;2019;15.9°C;87%;13.7°C;1015.0 hPa;1.6 km/h;5.0 km/h;162° (SSE);15.6 mm;102.6 mm;0.2 mm el 18 a las 08:39;19.1°C el 18 a las 15:10;13.4°C el 18 a las 23:47;95% el 18 a las 11:25;72% el 18 a las 18:59;1018.4 hPa el 18 a las 00:12;1012.1 hPa el 18 a las 20:15;16.7 km/h el 18 a las 16:37;27.8 km/h  del 165°(SSE) el 18 a las 14:55
19;Octubre;2019;13.5°C;80%;10.0°C;1008.2 hPa;3.1 km/h;7.4 km/h;158° (SSE);32.4 mm;119.4 mm;1.2 mm el 19 a las 21:50;17.2°C el 19 a las 14:40;10.2°C el 19 a las 09:11;93% el 19 a las 23:59;61% el 19 a las 14:38;1012.3 hPa el 19 a las 00:07;1002.3 hPa el 19 a las 21:10;16.7 km/h el 19 a las 22:03;29.6 km/h  del 140°(SE) el 19 a las 15:11
20;Octubre;2019;10.2°C;87%;8.1°C;1008.3 hPa;2.5 km/h;6.6 km/h;202° (SSO);33.2 mm;120.2 mm;0.2 mm el 20 a las 15:31;12.7°C el 20 a las 15:07;7.4°C el 20 a las 23:59;94% el 20 a las 09:31;71% el 20 a las 18:44;1015.8 hPa el 20 a las 23:57;1003.0 hPa el 20 a las 01:04;18.5 km/h el 20 a las 19:05;37.0 km/h  del 284°(ONO) el 20 a las 19:37
21;Octubre;2019;8.5°C;77%;4.4°C;1017.3 hPa;0.1 km/h;0.4 km/h;257° (OSO);33.2 mm;120.2 mm;0.0 mm el 21 a las 23:59;14.6°C el 21 a las 14:52;3.5°C el 21 a las 07:14;97% el 21 a las 10:03;53% el 21 a las 18:45;1019.3 hPa el 21 a las 11:12;1015.7 hPa el 21 a las 00:06;5.6 km/h el 21 a las 17:51;13.0 km/h  del 209°(SSO) el 21 a las 17:50
22;Octubre;2019;8.4°C;83%;5.7°C;1013.2 hPa;0.6 km/h;1.9 km/h;254° (OSO);35.0 mm;122.0 mm;0.2 mm el 22 a las 22:28;10.8°C el 22 a las 12:45;5.1°C el 22 a las 03:18;92% el 22 a las 23:59;74% el 22 a las 17:36;1017.8 hPa el 22 a las 00:29;1008.1 hPa el 22 a las 23:44;11.1 km/h el 22 a las 18:00;22.2 km/h  del 274°(O) el 22 a las 18:00
23;Octubre;2019;8.3°C;93%;7.2°C;1007.4 hPa;0.2 km/h;0.9 km/h;216° (SO);44.4 mm;131.4 mm;0.2 mm el 23 a las 11:08;10.2°C el 23 a las 17:52;6.9°C el 23 a las 08:38;95% el 23 a las 13:40;86% el 23 a las 18:38;1011.5 hPa el 23 a las 23:51;1004.8 hPa el 23 a las 07:47;11.1 km/h el 23 a las 16:14;18.5 km/h  del 153°(SSE) el 23 a las 16:14
24;Octubre;2019;11.3°C;77%;7.3°C;1017.7 hPa;1.3 km/h;3.5 km/h;230° (SO);44.6 mm;131.6 mm;0.2 mm el 24 a las 05:28;16.3°C el 24 a las 17:37;7.4°C el 24 a las 07:33;93% el 24 a las 00:00;54% el 24 a las 14:38;1023.5 hPa el 24 a las 23:58;1011.3 hPa el 24 a las 00:24;13.0 km/h el 24 a las 15:58;25.9 km/h  del 284°(ONO) el 24 a las 07:43
25;Octubre;2019;12.2°C;79%;8.3°C;1023.2 hPa;0.3 km/h;0.8 km/h;160° (SSE);44.6 mm;131.6 mm;0.0 mm el 25 a las 23:59;19.7°C el 25 a las 16:24;6.3°C el 25 a las 08:57;95% el 25 a las 10:39;54% el 25 a las 16:59;1024.9 hPa el 25 a las 10:43;1021.1 hPa el 25 a las 19:13;9.3 km/h el 25 a las 17:19;16.7 km/h  del 159°(SSE) el 25 a las 16:37
26;Octubre;2019;13.2°C;75%;8.3°C;1020.9 hPa;0.2 km/h;0.5 km/h;155° (SSE);44.6 mm;131.6 mm;0.0 mm el 26 a las 23:59;21.6°C el 26 a las 16:28;6.5°C el 26 a las 08:14;95% el 26 a las 10:43;43% el 26 a las 17:53;1022.3 hPa el 26 a las 11:18;1019.0 hPa el 26 a las 18:14;9.3 km/h el 26 a las 16:27;13.0 km/h  del 153°(SSE) el 26 a las 16:26
27;Octubre;2019;13.7°C;76%;9.1°C;1019.8 hPa;0.1 km/h;0.3 km/h;140° (SE);44.6 mm;131.6 mm;0.0 mm el 27 a las 23:59;21.4°C el 27 a las 14:38;7.2°C el 27 a las 08:05;94% el 27 a las 09:13;48% el 27 a las 14:46;1021.6 hPa el 27 a las 09:56;1018.1 hPa el 27 a las 17:37;5.6 km/h el 27 a las 14:11;11.1 km/h  del 123°(ESE) el 27 a las 14:11
28;Octubre;2019;15.4°C;74%;10.4°C;1016.7 hPa;0.5 km/h;1.5 km/h;143° (SE);44.6 mm;131.6 mm;0.0 mm el 28 a las 23:59;21.2°C el 28 a las 15:48;11.4°C el 28 a las 06:56;88% el 28 a las 09:54;51% el 28 a las 15:59;1019.0 hPa el 28 a las 00:24;1015.1 hPa el 28 a las 17:34;13.0 km/h el 28 a las 14:41;22.2 km/h  del 152°(SSE) el 28 a las 16:16
29;Octubre;2019;13.3°C;84%;10.7°C;1017.7 hPa;0.1 km/h;0.5 km/h;177° (S);44.6 mm;131.6 mm;0.0 mm el 29 a las 23:59;19.1°C el 29 a las 15:21;9.1°C el 29 a las 06:14;94% el 29 a las 08:50;66% el 29 a las 16:38;1020.6 hPa el 29 a las 23:59;1015.5 hPa el 29 a las 04:53;5.6 km/h el 29 a las 16:43;13.0 km/h  del 178°(S) el 29 a las 16:55
30;Octubre;2019;14.0°C;84%;11.2°C;1021.4 hPa;0.2 km/h;0.9 km/h;175° (S);44.6 mm;131.6 mm;0.0 mm el 30 a las 23:59;18.6°C el 30 a las 13:55;9.5°C el 30 a las 08:33;95% el 30 a las 09:46;67% el 30 a las 13:16;1023.0 hPa el 30 a las 10:55;1020.5 hPa el 30 a las 00:01;7.4 km/h el 30 a las 15:23;13.0 km/h  del 168°(SSE) el 30 a las 15:04
31;Octubre;2019;16.7°C;80%;13.0°C;1021.5 hPa;0.5 km/h;1.4 km/h;262° (O);45.0 mm;132.0 mm;0.2 mm el 31 a las 22:03;20.8°C el 31 a las 15:04;13.3°C el 31 a las 08:42;94% el 31 a las 09:36;56% el 31 a las 16:23;1023.0 hPa el 31 a las 10:01;1020.4 hPa el 31 a las 16:57;14.8 km/h el 31 a las 10:45;24.1 km/h  del 288°(ONO) el 31 a las 10:37
1;Noviembre;2019;16.3°C;88%;14.4°C;1017.9 hPa;1.6 km/h;4.7 km/h;181° (S);0.6 mm;132.6 mm;0.2 mm el 01 a las 14:56;19.4°C el 01 a las 12:51;14.3°C el 01 a las 08:25;94% el 01 a las 08:49;77% el 01 a las 13:01;1021.2 hPa el 01 a las 00:10;1014.4 hPa el 01 a las 00:00;18.5 km/h el 01 a las 11:22;25.9 km/h  del 165°(SSE) el 01 a las 13:41
2;Noviembre;2019;15.3°C;86%;12.9°C;1008.5 hPa;1.9 km/h;6.4 km/h;207° (SSO);1.0 mm;133.0 mm;0.2 mm el 02 a las 03:14;17.9°C el 02 a las 15:25;13.2°C el 02 a las 23:58;94% el 02 a las 08:38;74% el 02 a las 17:06;1014.4 hPa el 02 a las 00:05;1003.0 hPa el 02 a las 23:58;14.8 km/h el 02 a las 02:02;25.9 km/h  del 143°(SE) el 02 a las 14:11
3;Noviembre;2019;13.6°C;70%;8.0°C;1006.0 hPa;8.2 km/h;15.6 km/h;270° (O);44.4 mm;176.4 mm;3.2 mm el 03 a las 16:23;15.7°C el 03 a las 14:59;12.3°C el 03 a las 22:56;89% el 03 a las 09:08;50% el 03 a las 13:54;1011.8 hPa el 03 a las 23:10;1000.5 hPa el 03 a las 06:35;29.6 km/h el 03 a las 09:52;53.7 km/h  del 265°(O) el 03 a las 15:25
4;Noviembre;2019;13.1°C;85%;10.6°C;1008.5 hPa;3.1 km/h;9.1 km/h;212° (SSO);47.4 mm;179.4 mm;0.6 mm el 04 a las 21:58;15.9°C el 04 a las 15:07;9.7°C el 04 a las 23:57;92% el 04 a las 23:18;72% el 04 a las 15:09;1011.6 hPa el 04 a las 00:14;1005.3 hPa el 04 a las 21:15;16.7 km/h el 04 a las 15:45;40.7 km/h  del 185°(S) el 04 a las 15:45
5;Noviembre;2019;10.2°C;74%;5.6°C;1010.4 hPa;5.8 km/h;12.4 km/h;275° (O);48.6 mm;180.6 mm;0.2 mm el 05 a las 18:48;13.9°C el 05 a las 15:15;8.3°C el 05 a las 08:00;87% el 05 a las 21:25;55% el 05 a las 17:01;1015.2 hPa el 05 a las 23:39;1006.6 hPa el 05 a las 00:16;24.1 km/h el 05 a las 16:53;38.9 km/h  del 281°(O) el 05 a las 17:00
6;Noviembre;2019;10.1°C;69%;4.6°C;1015.0 hPa;4.4 km/h;8.7 km/h;285° (ONO);48.6 mm;180.6 mm;0.0 mm el 06 a las 23:59;13.3°C el 06 a las 14:35;7.7°C el 06 a las 07:07;78% el 06 a las 06:57;53% el 06 a las 16:44;1017.0 hPa el 06 a las 11:05;1012.7 hPa el 06 a las 23:59;18.5 km/h el 06 a las 12:41;31.5 km/h  del 264°(O) el 06 a las 05:41
